101,102
102,181
104,1143
107,134
114,168
123,21544
125,319
134,166
146,147
147,151
151,161
161,26296
163,9337
165,249
167,176
168,170
169,340
170,173
173,198692
175,185
176,364
180,373
181,786
182,705
183,185
185,192
187,188
188,830
190,8637
191,349
192,99434
200,37339
202,323184
204,209
209,210
210,211
211,215
215,217
217,219
219,220
220,222
222,233
225,230
228,238
230,238
233,298
236,411
237,15832
239,242
244,204824
245,255
248,21550
249,271
253,1203356
255,10301
257,211790
261,299
262,539900
270,293
271,289
273,275
275,505
284,307
286,16409
289,297
293,42606
297,349
298,299
299,334
300,1246
301,75053
302,310
305,316
307,8636
310,311
311,479
316,317
317,318
319,371
320,322
321,325
322,600936
323,325
325,328
326,1942682
327,462979
328,2526
329,332
330,331
331,430
332,348
334,363
337,339
339,357
340,383
341,349
342,343
343,193770
345,3614
347,348
348,387074
349,351
351,5463
354,2984693
355,1851
358,573984
359,703
363,444
364,441
365,373
371,1754
372,378
373,437
377,1443
381,158682
383,37668
385,520
387,504
388,408
398,107175
402,58056147
407,416
408,14094
416,26225
417,179433
422,2194239
424,110837
430,431
431,1561
433,2604
437,448
439,2368
441,64250
443,880
444,7431230
445,13411
447,937
448,1007
449,466
451,1163
453,487586
458,182519
466,625
475,9474
484,542
494,9852
504,672884
505,531
507,553
509,22076
511,6366331
516,620
519,2897128
520,528
525,17411244
526,1526
528,551
531,532
542,766
551,554
553,1824667
560,31378
567,670
569,75053
573,576
575,941
578,1772193
584,19160499
618,1040747
623,58099
625,8663
630,633
633,638
636,685
638,643
641,613224
643,646
644,727
646,824
656,29096
662,51332
670,755
671,52054
675,1246
678,683
679,824
681,695
683,685
685,686
690,155494
691,788
695,710
696,732112
697,773
703,720
704,706
705,120381
710,1030
712,121461
717,1636447
719,85593067
720,1659226
726,98582
727,47708
735,106242
744,15436058
758,1680632
765,1196
769,998
770,1379
773,31143389
779,780
780,810
788,809
792,14735280
795,21481
798,113794
799,801
801,1207451
802,1066
806,809
809,812
810,865
812,815
815,928
817,820
824,157353
825,30646
829,830
830,986
832,1415193
839,41474
844,589279
845,339607
850,366504
851,496292
852,3811684
853,1121
856,937
859,1270
863,914
865,897
866,2643876
868,1028297
873,3728616
876,879
879,881
880,969
881,1002
882,104058
890,18127
897,917
898,1037
899,902
902,146202
903,917
912,730441
917,921
921,924
924,18813
925,223302
937,1134
938,940
939,525190
940,942
943,87334
945,11494
946,953
948,1292758
950,560124
952,114726
954,955
955,865953
957,1007
966,37452
968,47977
969,1049
973,387918
975,1136
980,1012
981,40460
986,1041
998,1191
1002,1022
1007,15720
1012,7994604
1013,1015
1015,1016
1017,1397515
1018,200728
1020,1056
1022,560546
1026,12247
1029,1058
1039,1057
1040,111876
1049,996801
1056,807654
1057,297652
1062,1134
1071,1291
1072,1851
1076,76608
1077,138078
1092,21760
1093,29971
1106,348197
1120,1646
1121,1254
1130,8768
1134,1145
1144,1149
1148,171085
1149,1150
1150,1215
1151,1171
1152,1157
1163,2620
1171,1183
1177,1205
1178,480319
1189,1194
1191,1193
1193,9176
1194,49456
1196,1459
1197,1199
1198,1209
1199,1266
1201,1311
1202,1265
1203,1210
1204,1641
1205,5691584
1206,1460
1210,1060222
1215,34074
1216,4237933
1217,1228472
1219,1284
1221,205430
1224,385927
1228,15685
1229,1231
1231,1255
1232,1315
1233,1240
1234,2342
1235,1391
1238,1516
1240,111179
1243,1434
1246,1248
1248,18626
1249,2183339
1253,1771
1254,42191
1255,1275
1257,223793
1258,1526
1262,262658
1264,1275
1265,7873229
1266,1391
1270,1382
1271,1292
1273,1321
1275,1331
1283,1298
1284,1400
1286,1295
1291,186517
1293,1306
1294,1295
1295,1296
1296,1299
1298,579390
1299,1300
1300,13522
1301,1537
1304,417444
1306,1310
1308,10688840
1309,1589
1310,2274667
1315,1352
1316,1342
1317,1459
1318,1344767
1321,1331
1327,1332
1330,1488
1331,1352
1333,7688
1336,1657
1337,34074
1340,224321
1341,1351
1342,1345
1343,400342
1345,102148
1346,1354
1348,4010
1351,1352
